date_range_start,Riverside County,Los Angeles County,Orange County,San Bernardino County,Imperial County,Santa Clara County,Ventura County,Sacramento County,Alameda County,Kern County,Contra Costa County,Fresno County,Placer County,San Mateo County,San Francisco County,Santa Barbara County,San Joaquin County,San Luis Obispo County,Solano County,Stanislaus County,Tulare County,Sonoma County,El Dorado County,Yolo County,Monterey County,Santa Cruz County,Butte County,Marin County,Kings County,Merced County,Shasta County,Nevada County,Madera County,Napa County,Humboldt County,Mono County,San Benito County,Sutter County,Yuba County,Tuolumne County,Mendocino County,Tehama County,Calaveras County,Inyo County,Amador County,Lake County,Siskiyou County,Glenn County,Lassen County,Plumas County,Mariposa County,Del Norte County,Colusa County,Trinity County,Modoc County,Sierra County,Alpine County
2019-01-07,77863.266,49388.78,37412.844,16307.298,5931.7163,4511.367,3428.5264,3549.467,4812.3125,1963.1759,2089.7417,1918.1748,1347.2224,2145.9932,2773.197,1110.9663,1814.1095,753.76953,1299.4087,618.76605,840.9593,1260.0327,711.58093,641.2666,818.45874,520.326,818.45874,225.00583,284.06985,562.5146,568.1397,177.1921,84.37719,213.75554,298.13272,230.63098,137.81607,101.252625,78.752045,168.75438,45.001167,95.62748,22.500584,70.31432,25.313156,132.19093,0.0,0.0,22.500584,0.0,0.0,11.250292,0.0,45.001167,11.250292,0.0,0.0
2019-01-14,76360.086,50436.355,37120.996,17325.422,5561.4233,5544.2495,4708.462,4176.076,4722.773,2327.039,3059.7847,1514.1497,1909.1453,2183.9248,2953.88,915.93176,1230.7833,870.1352,1210.7473,864.4106,572.45734,1027.5609,623.9785,526.66077,918.79407,311.98926,529.5231,377.82187,343.47443,523.79846,323.43842,326.3007,206.08464,506.62476,257.6058,243.29437,45.79659,260.4681,11.449147,271.91724,34.347443,68.694885,22.898294,71.55717,34.347443,48.658875,22.898294,11.449147,160.28806,0.0,0.0,45.79659,11.449147,22.898294,0.0,0.0,0.0
2019-01-21,83053.74,58511.79,43033.832,18466.88,5963.958,5100.059,4666.7207,3377.817,3802.8218,4141.7144,2561.1406,1669.4637,1830.5768,2205.581,1663.9081,1361.1268,1430.5721,936.12195,819.4539,547.2286,783.3424,930.56635,1300.015,208.33574,866.6767,355.55966,452.78302,405.56024,244.44727,519.45044,263.89194,294.44785,66.667435,336.115,122.22363,244.44727,144.44612,111.1124,108.33459,391.6712,102.77897,105.55678,86.11211,33.333717,0.0,150.00174,122.22363,33.333717,77.77868,36.11153,22.222479,66.667435,44.444958,11.111239,0.0,0.0,0.0
2019-01-28,75782.56,44737.848,31237.934,15490.577,4388.107,4077.9397,3333.0293,2997.4382,3185.5725,2682.186,3038.116,1210.1616,1433.889,1238.1276,2176.257,1441.5161,1253.3817,640.6738,663.55505,887.2824,422.03116,620.33496,734.741,569.48785,770.334,266.94742,551.69135,561.8608,457.62415,264.40506,142.37196,333.04868,134.74489,223.72737,137.28725,213.55794,122.03311,94.067184,30.508278,15.254139,76.27069,71.18598,81.35541,20.338852,53.389484,20.338852,91.52483,20.338852,73.72833,101.69426,0.0,0.0,40.677704,0.0,0.0,0.0,0.0
2019-02-04,77509.266,53122.64,36445.625,17854.766,5602.0522,4202.185,4649.006,3290.4631,3716.622,3329.2048,2812.6487,1286.225,1668.4766,1720.1322,1895.7614,1717.5494,1195.8276,609.5364,684.437,495.89398,348.67545,508.8079,715.43036,643.1125,782.5827,503.64233,322.84766,573.37744,237.61586,322.84766,147.21852,237.61586,123.973495,359.0066,180.79468,206.6225,131.72183,242.78143,51.655624,85.23178,41.324497,46.49006,113.64237,23.24503,56.821186,103.31125,51.655624,30.993374,61.986748,20.662249,10.331124,0.0,41.324497,10.331124,0.0,0.0,10.331124
2019-02-11,80764.94,65548.055,42788.605,18579.678,5800.5493,6999.663,5555.4556,5218.1226,3834.5293,4709.4873,4171.8623,1705.1138,1860.6033,1886.9574,2179.4885,2493.103,1301.8951,1220.1973,961.92664,1009.3641,943.4787,669.3955,1093.6974,1051.5308,819.6142,693.11426,429.5727,492.82266,698.3851,511.27057,200.29156,474.37476,255.63528,297.80194,284.62485,274.0832,342.604,195.02074,271.44778,31.624985,239.8228,52.70831,65.88538,84.33329,129.13536,0.0,52.70831,21.083323,126.49994,42.166645,0.0,0.0,31.624985,23.718739,0.0,0.0,0.0
2019-02-18,84532.48,60696.13,41789.676,19762.658,5056.4404,9854.404,5056.4404,5974.5693,4022.5356,4272.9346,3492.1208,1712.4047,2501.2954,2770.5415,1564.3193,2299.361,1655.863,1058.1368,998.9027,901.9742,783.5059,912.744,813.123,815.8154,1020.44244,702.7321,277.3234,1058.1368,597.72614,269.24603,586.9563,465.79562,169.625,177.70238,481.95038,175.00992,344.63492,140.00793,96.928566,21.539682,145.39285,177.70238,86.15873,43.079365,45.771824,64.61904,129.23808,10.769841,21.539682,0.0,10.769841,0.0,0.0,43.079365,0.0,10.769841,0.0
2019-02-25,74507.73,54948.31,32732.191,16657.273,4776.7534,3672.2046,3818.9963,2976.7476,2656.693,3174.0745,2572.4683,1429.4164,1422.1971,1025.1371,1990.1134,1470.3257,1008.29205,883.15796,608.8255,977.00854,885.5644,960.1636,447.59503,490.91068,620.85767,558.2906,137.16623,235.82965,591.9805,264.70676,149.19835,291.17743,204.54613,259.8939,310.42883,368.183,257.48746,98.66342,67.3799,77.0056,21.657825,115.5084,19.2514,182.88829,38.5028,28.8771,105.8827,48.128498,19.2514,67.3799,0.0,0.0,0.0,48.128498,0.0,0.0,0.0
2019-03-04,76835.37,53732.41,36157.23,16918.959,4237.88,4666.1763,3994.928,2271.7239,3378.7825,3351.2312,2767.646,1745.746,1167.1702,1783.3158,1886.0068,1472.7384,1209.7494,869.116,886.6486,510.95004,731.35986,648.7062,723.8459,375.69855,743.8832,543.51056,202.87723,468.37088,370.68924,295.54953,200.37256,320.5961,80.149025,265.49365,122.728195,313.08212,125.23286,130.24217,82.65369,90.167656,170.31668,80.149025,145.27011,160.29805,40.074512,10.018628,82.65369,20.037256,20.037256,72.635056,0.0,0.0,0.0,60.11177,0.0,0.0,0.0
2019-03-11,78820.37,56143.39,38675.695,17632.53,5812.8687,3859.0854,3975.4397,2867.6494,2765.8396,3127.0227,2865.2256,1570.7836,1379.2837,1452.0051,2026.5046,1355.0432,2203.4602,790.23987,511.47427,884.7778,790.23987,1301.7141,465.41733,462.9933,795.08795,429.0566,591.4679,673.8855,620.55646,232.70866,145.44292,283.61368,266.64536,196.34795,278.7656,300.58203,58.177166,206.04413,77.56956,67.87336,121.20243,19.39239,150.29102,104.23409,58.177166,87.26575,29.088583,63.025265,77.56956,0.0,9.696195,0.0,0.0,0.0,0.0,0.0,0.0
