date_range_start,United States,Mexico,Canada,Brazil,Japan,"Korea, Republic of",Philippines,Australia,Israel,China,Kuwait,Colombia,"Tanzania, United Republic of",Viet Nam,Argentina,"Taiwan, Province of China",Thailand,Indonesia,India,Iraq,United Arab Emirates,Turkey,Nigeria,Russian Federation,Costa Rica,Saudi Arabia,New Zealand,Singapore,"Iran, Islamic Republic of",Peru,Bahrain,Egypt,Chile,Ecuador,Ukraine,Guatemala,South Africa,Dominican Republic,Panama,Afghanistan,"Venezuela, Bolivarian Republic of",Malaysia,Lebanon,Pakistan,Jordan,Morocco,Jamaica,Qatar,Kazakhstan,"Moldova, Republic of",Honduras,El Salvador,Ethiopia,Cambodia,Ghana,Serbia,Kenya,Uruguay,Bahamas,"Bolivia, Plurinational State of",Paraguay,Syrian Arab Republic,Djibouti,North Macedonia,Fiji,Cuba,Uzbekistan,Armenia,Georgia,Trinidad and Tobago,Sri Lanka,Nicaragua,Lao People's Democratic Republic,Bangladesh,Belize,Myanmar,Belarus,Montenegro,Somalia,Uganda,Libya,Oman,Albania,Algeria,Barbados,Haiti,Grenada,Sudan,Bosnia and Herzegovina,Tunisia,Rwanda,Faroe Islands,British Indian Ocean Territory,Maldives,Saint Kitts and Nevis,Antigua and Barbuda,Mauritius,Mali,"Palestine, State of",Nepal,Yemen,"Korea, Democratic People's Republic of",Azerbaijan,Mongolia,South Sudan,Saint Lucia,Niger,Kosovo,Guyana,Senegal,Benin,Botswana,Zimbabwe,Central African Republic,Brunei Darussalam,Angola,Papua New Guinea,Kiribati,Guinea,Gibraltar,Zambia,Cabo Verde,Chad,Madagascar,"Congo, The Democratic Republic of the","Micronesia, Federated States of",Marshall Islands,Jersey,Seychelles,Samoa,Sierra Leone,Togo,Kyrgyzstan,Mozambique,Cameroon
2019-01-07,3201172.8,44991.33,1556.3439,1217.5653,318.40097,973.0333,305.66492,346.42026,145.19084,203.77661,20.37766,183.39896,254.72076,142.64363,81.51064,137.54921,104.43552,20.37766,112.07714,20.37766,73.869026,40.75532,50.944153,20.37766,33.1137,96.79389,10.18883,20.37766,30.566492,30.566492,0.0,20.37766,40.75532,40.75532,0.0,10.18883,10.18883,40.75532,40.75532,30.566492,0.0,20.37766,0.0,63.68019,0.0,0.0,0.0,12.736038,0.0,0.0,30.566492,20.37766,0.0,10.18883,0.0,0.0,0.0,0.0,0.0,20.37766,10.18883,0.0,0.0,0.0,0.0,10.18883,0.0,0.0,0.0,10.18883,0.0,10.18883,61.132984,10.18883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.05785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.18883,0.0,0.0,0.0,10.18883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-14,3206618.0,41104.812,1315.2081,718.8068,401.07336,1463.6573,117.19676,445.34772,156.26236,231.78915,0.0,156.26236,309.92032,130.21863,72.92243,138.03174,106.779274,31.25247,114.59239,20.83498,31.25247,93.75741,10.41749,80.73555,20.83498,62.50494,10.41749,44.274334,0.0,20.83498,10.41749,10.41749,10.41749,41.66996,10.41749,10.41749,65.109314,49.483078,18.230608,0.0,0.0,10.41749,0.0,10.41749,0.0,0.0,10.41749,0.0,0.0,0.0,20.83498,0.0,0.0,10.41749,0.0,20.83498,57.296196,0.0,0.0,0.0,13.021863,0.0,0.0,0.0,0.0,10.41749,0.0,0.0,0.0,0.0,0.0,0.0,33.856842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.41749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-21,3206550.5,41168.895,1122.9716,951.3714,295.25317,2142.4783,358.34146,275.06494,184.2178,60.564754,0.0,100.94126,232.1649,93.37067,100.94126,196.83545,90.84714,10.094126,199.359,80.753006,60.564754,93.37067,20.188251,121.12951,40.376503,50.47063,10.094126,70.65888,20.188251,50.47063,0.0,60.564754,83.27654,30.282377,0.0,0.0,10.094126,0.0,10.094126,20.188251,0.0,30.282377,30.282377,47.947098,0.0,0.0,10.094126,35.32944,0.0,0.0,0.0,10.094126,0.0,0.0,0.0,0.0,60.564754,22.711784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.094126,0.0,0.0,80.753006,10.094126,0.0,0.0,20.188251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.188251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.094126,0.0,0.0,0.0,0.0,0.0,10.094126,0.0,0.0,0.0,0.0,0.0,10.094126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.094126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-28,3202905.8,45540.637,1137.2974,930.72705,171.75511,1845.207,213.53339,83.55654,139.26091,206.57034,74.272484,95.16162,132.29787,139.26091,171.75511,213.53339,18.568121,18.568121,95.16162,46.420303,0.0,83.55654,27.85218,95.16162,18.568121,111.40872,46.420303,11.605076,9.2840605,0.0,9.2840605,48.741318,18.568121,18.568121,9.2840605,27.85218,0.0,37.136242,37.136242,0.0,0.0,18.568121,0.0,18.568121,9.2840605,0.0,64.98842,9.2840605,9.2840605,0.0,13.92609,18.568121,0.0,9.2840605,0.0,0.0,0.0,18.568121,46.420303,27.85218,9.2840605,0.0,0.0,0.0,9.2840605,9.2840605,0.0,0.0,46.420303,18.568121,0.0,41.77827,0.0,0.0,37.136242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2840605,9.2840605,9.2840605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.605076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.568121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-04,3201255.0,46502.164,1325.6113,949.5514,333.7532,1313.8595,227.98634,155.12473,94.01499,209.18335,98.71574,136.32173,180.97885,282.04498,150.42398,89.31424,110.46761,47.007496,176.2781,47.007496,9.401499,28.204496,9.401499,169.22697,47.007496,37.605995,77.56236,0.0,0.0,9.401499,28.204496,37.605995,18.802998,0.0,9.401499,28.204496,0.0,75.21199,37.605995,0.0,0.0,0.0,0.0,18.802998,0.0,0.0,0.0,0.0,0.0,0.0,9.401499,9.401499,9.401499,0.0,0.0,0.0,0.0,0.0,58.75937,9.401499,28.204496,9.401499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.401499,0.0,14.102248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.802998,28.204496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.401499,0.0,0.0,0.0,0.0,9.401499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.802998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.401499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-11,3203205.5,42362.145,1271.4652,656.16254,389.3712,1184.9382,266.79138,120.17629,201.89618,254.77374,50.474045,170.65034,271.59842,259.5808,122.57982,153.82565,127.38687,57.68462,134.59744,38.456413,0.0,33.64936,74.5093,117.772766,28.84231,43.263466,151.42213,0.0,0.0,115.36924,9.614103,28.84231,48.07052,0.0,0.0,9.614103,9.614103,28.84231,38.456413,19.228207,0.0,21.631733,0.0,0.0,0.0,0.0,48.07052,9.614103,0.0,0.0,0.0,9.614103,38.456413,0.0,9.614103,0.0,0.0,19.228207,0.0,0.0,19.228207,0.0,0.0,0.0,0.0,0.0,0.0,9.614103,0.0,16.82468,0.0,0.0,0.0,0.0,0.0,28.84231,9.614103,0.0,0.0,0.0,0.0,0.0,0.0,28.84231,38.456413,28.84231,28.84231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.614103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-18,3206298.8,41640.117,1523.897,1200.4976,320.94937,1156.3977,382.19925,200.8996,183.74963,323.39935,80.84984,127.39974,218.04956,276.84946,78.39984,48.9999,195.9996,19.59996,186.19963,78.39984,12.249975,9.79998,51.449898,127.39974,0.0,107.79978,78.39984,19.59996,9.79998,9.79998,0.0,9.79998,19.59996,9.79998,0.0,0.0,19.59996,0.0,29.39994,0.0,0.0,0.0,9.79998,9.79998,9.79998,0.0,9.79998,19.59996,0.0,0.0,0.0,9.79998,9.79998,0.0,9.79998,0.0,0.0,0.0,0.0,0.0,53.89989,0.0,19.59996,0.0,0.0,0.0,0.0,0.0,0.0,9.79998,9.79998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.59996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.79998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.149965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-25,3206174.5,44701.477,1183.8547,624.8122,484.5035,692.77423,304.73297,8.769295,46.038795,87.69294,0.0,52.615765,157.84729,98.654564,43.84647,142.50104,61.38506,0.0,151.27032,17.53859,46.038795,26.307882,43.84647,164.42427,0.0,8.769295,8.769295,28.500206,17.53859,8.769295,0.0,8.769295,8.769295,35.07718,8.769295,0.0,0.0,26.307882,26.307882,10.961617,0.0,8.769295,0.0,0.0,0.0,0.0,17.53859,17.53859,8.769295,0.0,8.769295,52.615765,0.0,0.0,0.0,0.0,0.0,0.0,8.769295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.346265,0.0,0.0,8.769295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.307882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-04,3207931.8,42961.95,1367.188,704.0336,390.62512,302.05316,381.54083,56.77691,36.337223,165.78857,9.084306,218.02333,158.97534,65.86121,36.337223,208.93903,163.5175,109.011665,99.92736,54.505833,18.168612,9.084306,40.879375,36.337223,9.084306,36.337223,72.674446,59.047985,0.0,81.75875,36.337223,0.0,0.0,27.252916,36.337223,9.084306,0.0,38.6083,9.084306,9.084306,0.0,18.168612,0.0,0.0,0.0,0.0,13.626458,0.0,36.337223,54.505833,0.0,29.523993,0.0,0.0,9.084306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.084306,0.0,9.084306,9.084306,0.0,0.0,0.0,0.0,0.0,31.795069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.084306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.252916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.084306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-11,3207621.8,42240.023,1671.2415,731.30536,388.71185,314.04404,173.49287,125.1784,54.902805,114.19784,8.784449,195.454,140.55118,79.06004,8.784449,107.6095,133.96284,131.76674,90.0406,79.06004,61.491142,0.0,37.333908,72.4717,0.0,17.568897,81.25615,43.922245,0.0,118.59006,0.0,0.0,70.27559,0.0,39.53002,8.784449,17.568897,8.784449,125.1784,8.784449,0.0,0.0,0.0,0.0,0.0,0.0,10.980561,0.0,17.568897,0.0,0.0,0.0,0.0,0.0,10.980561,8.784449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.784449,0.0,0.0,0.0,0.0,26.353348,8.784449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.137794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.568897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
