Date,Cross Border Xpress,Otay Mesa,San Ysidro,Tecate,
1/1/19,"160,269","1,306,239","2,829,118","240,476",
2/1/19,"98,519","1,176,170","2,485,565","213,843",
3/1/19,"121,176","1,390,896","2,983,558","259,490",
4/1/19,"140,336","1,289,176","3,007,176","258,557",
5/1/19,"130,924","1,345,197","3,086,445","256,227",
6/1/19,"131,137","1,342,944","3,101,206","222,723",
7/1/19,"165,306","1,445,294","3,277,762","238,852",
8/1/19,"136,761","1,401,242","3,242,934","253,419",
9/1/19,"113,379","1,308,612","3,069,438","255,645",
10/1/19,"119,035","1,346,213","3,181,545","245,140",
11/1/19,"133,280","1,265,210","3,092,262","238,067",
12/1/19,"170,539","1,282,203","3,367,697","255,135",
1/1/20,"179,451","1,159,697","3,137,765","231,667",
2/1/20,"127,902","1,074,568","2,927,661","216,309",
3/1/20,"97,428","838,124","2,167,567","149,844",
4/1/20,"11,396","481,599","1,033,802","73,278",
5/1/20,"18,291","611,206","1,318,040","95,265",
6/1/20,"37,952","756,927","1,641,800","100,721",
7/1/20,"59,032","894,583","1,693,338","108,934",
8/1/20,"71,565","912,842","1,735,714","106,538",
9/1/20,"71,501","879,326","1,738,677","96,597",
10/1/20,"82,119","935,043","1,965,843","114,002",
11/1/20,"92,268","853,999","1,899,724","102,105",
12/1/20,"71,503","818,903","1,831,403","84,455",
1/1/21,0,"932,569","1,852,500","98,308",
2/1/21,0,"881,013","1,847,435","105,653",
3/1/21,0,"1,022,504","2,341,874","114,132",
4/1/21,0,"1,072,650","2,153,277","119,776",
5/1/21,0,"1,083,562","2,168,875","120,203",
6/1/21,0,"1,043,623","2,333,989","125,275",
